capture,ut,type,ts_open_utc,prix,champ,note
lot-2/ex6.png,5,exact,2026-09-03T16:50:00Z,155.292,low,étiquette Low de l'échelle (extrême visible); heure lue sur l'axe du temps à ±1 bougie; plus bas de NY du 03/09
lot-2/ex7.png,5,exact,2026-09-04T17:10:00Z,156.115,open,en-tête O de la bougie en cours
lot-2/ex7.png,5,borne,2026-09-04T17:10:00Z,156.126,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-2/ex7.png,5,borne,2026-09-04T17:10:00Z,156.106,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-2/ex7.png,5,exact,2026-09-04T12:30:00Z,156.762,high,étiquette High de l'échelle (extrême visible); heure lue sur l'axe du temps à ±1 bougie; pointe des NFP
lot-2/ex8.png,1,exact,2026-09-08T08:08:00Z,153.834,open,en-tête O de la bougie en cours
lot-2/ex8.png,1,borne,2026-09-08T08:08:00Z,153.878,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-2/ex8.png,1,borne,2026-09-08T08:08:00Z,153.830,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-2/ex8.png,1,exact,2026-09-08T02:24:00Z,152.888,low,étiquette Low de l'échelle (extrême visible); heure lue sur l'axe du temps à ±2 min; plus bas de Tokyo
lot-2/ex9.png,1,exact,2026-09-08T08:44:00Z,154.042,open,en-tête O de la bougie en cours
lot-2/ex9.png,1,borne,2026-09-08T08:44:00Z,154.135,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-2/ex9.png,1,borne,2026-09-08T08:44:00Z,154.042,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-2/ex9.png,1,exact,2026-09-08T06:06:00Z,153.263,low,étiquette Low de l'échelle (extrême visible); heure lue sur l'axe du temps à ±2 min
lot-2/ex10.png,5,exact,2026-09-16T13:15:00Z,155.214,open,en-tête O de la bougie en cours
lot-2/ex10.png,5,borne,2026-09-16T13:15:00Z,155.250,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-2/ex10.png,5,borne,2026-09-16T13:15:00Z,155.198,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-2/ex10.png,5,exact,2026-09-16T07:20:00Z,154.882,low,étiquette Low de l'échelle (extrême visible); heure lue sur l'axe du temps à ±1 bougie; plus bas de Londres
lot-3/ex11.png,5,exact,2026-09-16T13:20:00Z,155.296,open,en-tête O de la bougie en cours; bougie tout juste ouverte (O=H=L=C)
lot-3/ex11.png,5,exact,2026-09-16T03:55:00Z,155.404,high,étiquette High de l'échelle (extrême visible); heure lue sur l'axe du temps à ±2 bougies
lot-3/ex12.png,3,exact,2026-09-17T12:36:00Z,155.541,open,en-tête O de la bougie en cours
lot-3/ex12.png,3,borne,2026-09-17T12:36:00Z,155.583,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-3/ex12.png,3,borne,2026-09-17T12:36:00Z,155.526,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-3/ex12.png,3,exact,2026-09-16T20:27:00Z,156.414,high,étiquette High de l'échelle (extrême visible); heure lue sur l'axe du temps à ±2 bougies; plus haut de NY du 16/09
lot-3/ex12.png,3,exact,2026-09-17T12:27:00Z,155.338,low,étiquette Low de l'échelle (extrême visible); heure lue sur l'axe du temps à ±1 bougie; balayage de NY
lot-3/ex13.png,5,exact,2026-09-18T07:00:00Z,156.877,open,en-tête O de la bougie en cours
lot-3/ex13.png,5,borne,2026-09-18T07:00:00Z,156.966,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-3/ex13.png,5,borne,2026-09-18T07:00:00Z,156.873,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-3/ex13.png,5,exact,2026-09-18T05:25:00Z,157.330,high,étiquette High de l'échelle (extrême visible); heure lue sur l'axe du temps à ±2 bougies; pointe de Tokyo
lot-3/ex13.png,5,exact,2026-09-16T18:00:00Z,154.837,low,étiquette Low de l'échelle (extrême visible); heure lue sur l'axe du temps à ±1 bougie; mèche du FOMC
lot-3/ex14.png,1,exact,2026-09-22T09:17:00Z,157.234,open,en-tête O de la bougie en cours; en-tête en partie masqué par les bougies
lot-3/ex14.png,1,borne,2026-09-22T09:17:00Z,157.246,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-3/ex14.png,1,borne,2026-09-22T09:17:00Z,157.231,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-3/ex14.png,1,exact,2026-09-22T08:52:00Z,156.854,low,étiquette Low de l'échelle (extrême visible); heure lue sur l'axe du temps à ±1 min
lot-3/ex15.png,1,exact,2026-09-22T10:01:00Z,156.876,open,en-tête O de la bougie en cours
lot-3/ex15.png,1,borne,2026-09-22T10:01:00Z,156.888,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-3/ex15.png,1,borne,2026-09-22T10:01:00Z,156.850,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-3/ex15.png,1,exact,2026-09-22T08:06:00Z,157.778,high,étiquette High de l'échelle (extrême visible); heure lue sur l'axe du temps à ±2 min
lot-4/ex16.png,1,exact,2026-09-24T07:57:00Z,158.184,open,en-tête O de la bougie en cours
lot-4/ex16.png,1,borne,2026-09-24T07:57:00Z,158.186,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-4/ex16.png,1,borne,2026-09-24T07:57:00Z,158.172,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-4/ex16.png,1,exact,2026-09-24T06:42:00Z,158.489,high,étiquette High de l'échelle (extrême visible); heure lue sur l'axe du temps à ±2 min; plus haut de Tokyo
lot-4/ex16.png,1,exact,2026-09-24T02:30:00Z,157.796,low,étiquette Low de l'échelle (extrême visible); heure lue sur l'axe du temps à ±2 min
lot-4/ex17.png,1,exact,2026-09-24T11:17:00Z,158.662,open,en-tête O de la bougie en cours
lot-4/ex17.png,1,borne,2026-09-24T11:17:00Z,158.687,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-4/ex17.png,1,borne,2026-09-24T11:17:00Z,158.662,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-4/ex17.png,1,exact,2026-09-24T10:11:00Z,158.802,high,étiquette High de l'échelle (extrême visible); heure lue sur l'axe du temps à ±3 min; autre sommet presque égal vers 10:54
lot-4/ex18.png,1,exact,2026-09-25T08:28:00Z,158.258,open,en-tête O de la bougie en cours; en-tête en partie masqué par les bougies
lot-4/ex18.png,1,borne,2026-09-25T08:28:00Z,158.285,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-4/ex18.png,1,borne,2026-09-25T08:28:00Z,158.258,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-4/ex18.png,1,exact,2026-09-25T06:20:00Z,157.949,low,étiquette Low de l'échelle (extrême visible); heure lue sur l'axe du temps à ±2 min; autre creux presque égal vers 07:13
lot-4/ex19.png,1,exact,2026-09-25T09:10:00Z,157.951,open,en-tête O de la bougie en cours
lot-4/ex19.png,1,borne,2026-09-25T09:10:00Z,157.980,high,en-tête H de la bougie en cours (plus haut final >= ce prix)
lot-4/ex19.png,1,borne,2026-09-25T09:10:00Z,157.940,low,en-tête L de la bougie en cours (plus bas final <= ce prix)
lot-4/ex19.png,1,exact,2026-09-25T09:09:00Z,157.926,low,étiquette Low de l'échelle (extrême visible); heure lue sur l'axe du temps à ±1 min; la bougie en cours ne descend qu'à 157.940
lot-4/ex19.png,1,exact,2026-09-25T03:19:00Z,158.471,high,étiquette High de l'échelle (extrême visible); heure lue sur l'axe du temps à ±2 min
